stl,n_faces,model,alpha_deg,Mach,CD,CL,CM,n_windward
ARD_coarsest.stl,194,MN,10.0,8.0,1.2609860384509959,-0.18765648643879151,0.025828996980898418,81
ARD_coarsest.stl,194,MNM,10.0,8.0,1.1521340665695425,-0.17145743429837282,0.023599363053670625,81
ARD_coarse.stl,1438,MN,10.0,8.0,1.3111586460919258,-0.19592670445259255,0.029275742383852582,681
ARD_coarse.stl,1438,MNM,10.0,8.0,1.1979756292110697,-0.1790137431083912,0.026748575397380372,681
ARD_fine.stl,134124,MN,10.0,8.0,1.3154669717306695,-0.19660214046288593,0.028738342647675004,67160
ARD_fine.stl,134124,MNM,10.0,8.0,1.201912047685904,-0.17963087352341206,0.026257565564966612,67160
ARD_chillfine.stl,9788,MN,10.0,8.0,1.309650926575484,-0.19481502595184172,0.0286420207576583,5944
ARD_chillfine.stl,9788,MNM,10.0,8.0,1.196598060415893,-0.17799802791985414,0.026169558459843877,5944
ARD_ultrafine.stl,350794,MN,10.0,8.0,1.3160603596053022,-0.196711876880234,0.02873366018499987,293414
ARD_ultrafine.stl,350794,MNM,10.0,8.0,1.2024542125982738,-0.17973113717496011,0.02625328730605049,293414
